3,"[(0, 10), (1, 8), (1, 10), (2, 8), (3, 4), (3, 8), (5, 6), (5, 7), (5, 8), (9, 10)]","[(9, 10), (8, 10), (7, 10), (6, 10), (5, 10), (4, 10), (3, 10), (2, 10), (1, 10), (0, 10)]",0.11111110598765454
0,"[(0, 9), (1, 2), (1, 9), (3, 7), (3, 9), (4, 7), (5, 7), (6, 7), (8, 9)]","[(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9)]",0.0
2,"[(0, 9), (1, 7), (1, 9), (2, 7), (3, 4), (3, 7), (5, 6), (5, 7), (8, 9)]","[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9), (0, 3), (0, 5), (0, 7), (0, 9)]",0.0
7,"[(0, 9), (1, 2), (1, 9), (3, 9), (4, 7), (4, 9), (5, 7), (6, 7), (8, 9)]","[(0, 1), (4, 5), (6, 7), (6, 8), (4, 8), (3, 8), (2, 8), (2, 9), (0, 9)]",0.12499999484375018
4,"[(0, 7), (1, 5), (1, 7), (2, 5), (3, 5), (4, 5), (6, 7)]","[(1, 2), (4, 5), (6, 7), (4, 7), (3, 7), (1, 7), (0, 7)]",0.3333333277777778
6,"[(0, 7), (1, 5), (1, 7), (2, 5), (3, 5), (4, 5), (6, 7)]","[(1, 2), (6, 7), (0, 2), (5, 7), (0, 3), (0, 4), (0, 7)]",0.0
8,"[(0, 7), (1, 5), (1, 7), (2, 3), (2, 4), (2, 5), (6, 7)]","[(6, 7), (5, 7), (4, 7), (3, 7), (2, 7), (1, 7), (0, 7)]",0.16666666138888903
1,"[(0, 5), (1, 3), (1, 5), (2, 3), (4, 5)]","[(3, 4), (3, 5), (2, 5), (1, 5), (0, 5)]",0.2499999943750001
5,"[(0, 5), (1, 3), (1, 5), (2, 3), (4, 5)]","[(1, 2), (3, 4), (1, 4), (1, 5), (0, 5)]",0.2499999943750001
9,"[(0, 4), (1, 2), (1, 4), (3, 4)]","[(2, 3), (2, 4), (1, 4), (0, 4)]",0.33333332722222225
